Date,Open,High,Low,Close,Adj. Close,Change,Volume
5-Sep-25,240,241.32,238.49,239.69,239.69,-0.04%,"54,870,397"
4-Sep-25,238.45,239.9,236.74,239.78,239.78,0.55%,"47,549,429"
3-Sep-25,237.21,238.85,234.36,238.47,238.47,3.81%,"66,061,716"
2-Sep-25,229.25,230.85,226.97,229.72,229.72,-1.04%,"44,075,638"
29-Aug-25,232.51,233.38,231.37,232.14,232.14,-0.18%,"39,418,437"
28-Aug-25,230.82,233.41,229.34,232.56,232.56,0.90%,"38,074,700"
27-Aug-25,228.61,230.9,228.26,230.49,230.49,0.51%,"31,259,513"
26-Aug-25,226.87,229.49,224.69,229.31,229.31,0.95%,"54,575,107"
25-Aug-25,226.48,229.3,226.23,227.16,227.16,-0.26%,"30,983,133"
22-Aug-25,226.17,229.09,225.41,227.76,227.76,1.27%,"42,477,811"
21-Aug-25,226.27,226.52,223.78,224.9,224.9,-0.49%,"30,621,249"
20-Aug-25,229.98,230.47,225.77,226.01,226.01,-1.97%,"42,263,865"
19-Aug-25,231.28,232.87,229.35,230.56,230.56,-0.14%,"39,402,564"
18-Aug-25,231.7,233.12,230.11,230.89,230.89,-0.30%,"37,476,188"
15-Aug-25,234,234.28,229.34,231.59,231.59,-0.51%,"56,038,657"
14-Aug-25,234.06,235.12,230.85,232.78,232.78,-0.24%,"51,916,275"
13-Aug-25,231.07,235,230.43,233.33,233.33,1.60%,"69,878,546"
12-Aug-25,228.01,230.8,227.07,229.65,229.65,1.09%,"55,672,301"
11-Aug-25,227.92,229.56,224.76,227.18,227.18,-0.95%,"61,806,132"
8-Aug-25,220.83,231,219.25,229.35,229.09,4.24%,"113,853,967"
7-Aug-25,218.88,220.85,216.58,220.03,219.78,3.18%,"90,224,834"
6-Aug-25,205.63,215.38,205.59,213.25,213.01,5.09%,"108,483,103"
5-Aug-25,203.4,205.34,202.16,202.92,202.69,-0.21%,"44,155,079"
4-Aug-25,204.51,207.88,201.68,203.35,203.12,0.48%,"75,109,298"
1-Aug-25,210.87,213.58,201.5,202.38,202.15,-2.50%,"104,434,473"
31-Jul-25,208.49,209.84,207.16,207.57,207.33,-0.71%,"80,698,431"
30-Jul-25,211.9,212.39,207.72,209.05,208.81,-1.05%,"45,512,514"
29-Jul-25,214.18,214.81,210.82,211.27,211.03,-1.30%,"51,411,723"
28-Jul-25,214.03,214.85,213.06,214.05,213.81,0.08%,"37,858,017"
25-Jul-25,214.7,215.24,213.4,213.88,213.64,0.06%,"40,268,781"
24-Jul-25,213.9,215.69,213.53,213.76,213.52,-0.18%,"46,022,620"
23-Jul-25,215,215.15,212.41,214.15,213.91,-0.12%,"46,989,301"
22-Jul-25,213.14,214.95,212.23,214.4,214.16,0.90%,"46,404,072"
