Date,Open,High,Low,Close,Adj. Close,Change,Volume
5-Sep-25,235.19,236,231.93,232.33,232.33,-1.42%,"36,496,440"
4-Sep-25,231.19,235.77,230.78,235.68,235.68,4.29%,"59,391,779"
3-Sep-25,225.21,227.17,224.36,225.99,225.99,0.29%,"26,355,706"
2-Sep-25,223.52,226.17,221.83,225.34,225.34,-1.60%,"38,843,883"
29-Aug-25,231.32,231.81,228.16,229,229,-1.12%,"26,199,170"
28-Aug-25,229.01,232.71,228.02,231.6,231.6,1.08%,"33,679,585"
27-Aug-25,228.57,229.87,227.81,229.12,229.12,0.18%,"21,254,479"
26-Aug-25,227.11,229,226.02,228.71,228.71,0.34%,"26,105,373"
25-Aug-25,227.35,229.6,227.31,227.94,227.94,-0.39%,"22,633,695"
22-Aug-25,222.79,229.14,220.82,228.84,228.84,3.10%,"37,315,341"
21-Aug-25,222.65,222.78,220.5,221.95,221.95,-0.83%,"32,140,459"
20-Aug-25,227.12,227.27,220.92,223.81,223.81,-1.84%,"36,604,319"
19-Aug-25,230.09,230.53,227.12,228.01,228.01,-1.50%,"29,891,012"
18-Aug-25,230.23,231.91,228.33,231.49,231.49,0.20%,"25,248,890"
15-Aug-25,232.58,234.08,229.81,231.03,231.03,0.02%,"39,649,244"
14-Aug-25,227.4,233.11,227.02,230.98,230.98,2.86%,"61,545,824"
13-Aug-25,222,224.92,222,224.56,224.56,1.40%,"36,508,335"
12-Aug-25,222.23,223.5,219.05,221.47,221.47,0.08%,"37,254,707"
11-Aug-25,221.78,223.05,220.4,221.3,221.3,-0.62%,"31,646,222"
8-Aug-25,223.14,223.8,221.88,222.69,222.69,-0.20%,"32,970,477"
7-Aug-25,221,226.22,220.82,223.13,223.13,0.37%,"40,603,513"
6-Aug-25,214.7,222.65,213.74,222.31,222.31,4.00%,"54,823,045"
5-Aug-25,213.05,216.3,212.87,213.75,213.75,0.99%,"51,505,121"
4-Aug-25,217.4,217.44,211.42,211.65,211.65,-1.44%,"77,890,146"
1-Aug-25,217.21,220.44,212.8,214.75,214.75,-8.27%,"122,258,801"
31-Jul-25,235.77,236.53,231.4,234.11,234.11,1.70%,"104,357,263"
30-Jul-25,231.64,231.8,229.29,230.19,230.19,-0.35%,"32,993,273"
29-Jul-25,234.15,234.72,230.31,231.01,231.01,-0.76%,"33,716,220"
