Date,Open,High,Low,Close,Adj. Close,Change,Volume
5-Sep-25,232.2,235.76,231.9,235,235,1.16%,"46,519,002"
4-Sep-25,229.65,232.37,226.11,232.3,232.3,0.71%,"51,684,167"
3-Sep-25,226.21,231.31,224.79,230.66,230.66,9.14%,"102,090,277"
2-Sep-25,208.44,211.68,206.2,211.35,211.35,-0.73%,"47,523,037"
29-Aug-25,210.51,214.65,210.2,212.91,212.91,0.60%,"39,728,364"
28-Aug-25,207.25,212.22,206.9,211.64,211.64,2.01%,"32,339,307"
27-Aug-25,205.7,208.91,205.65,207.48,207.48,0.16%,"23,022,850"
26-Aug-25,207.51,207.85,205.7,207.14,207.14,-0.65%,"28,464,130"
25-Aug-25,206.43,210.52,205.28,208.49,208.49,1.16%,"29,928,878"
22-Aug-25,202.73,208.54,201.3,206.09,206.09,3.17%,"42,827,040"
21-Aug-25,199.75,202.48,199.43,199.75,199.75,0.22%,"19,774,633"
20-Aug-25,200.73,201.28,196.6,199.32,199.32,-1.12%,"28,955,498"
19-Aug-25,203.03,203.44,199.96,201.57,201.57,-0.95%,"24,240,233"
18-Aug-25,204.2,205.27,202.49,203.5,203.5,-0.20%,"18,526,594"
15-Aug-25,203.85,206.44,201.28,203.9,203.9,0.47%,"34,931,422"
14-Aug-25,201.5,204.44,201.23,202.94,202.94,0.49%,"25,230,427"
13-Aug-25,204.13,204.53,197.51,201.96,201.96,-0.68%,"28,342,922"
12-Aug-25,201.37,204.5,200.59,203.34,203.34,1.16%,"30,424,452"
11-Aug-25,200.94,201.48,199.07,201,201,-0.21%,"25,832,435"
8-Aug-25,197.22,202.61,197.17,201.42,201.42,2.49%,"39,161,826"
7-Aug-25,197.06,197.54,194.33,196.52,196.52,0.22%,"26,321,811"
6-Aug-25,194.5,196.63,193.67,196.09,196.09,0.73%,"21,562,908"
5-Aug-25,194.71,197.86,193.89,194.67,194.67,-0.19%,"31,602,340"
4-Aug-25,190.29,195.27,190.12,195.04,195.04,3.12%,"31,547,350"
1-Aug-25,189.03,190.83,187.82,189.13,189.13,-1.44%,"34,832,181"
31-Jul-25,195.71,195.99,191.09,191.9,191.9,-2.36%,"51,329,163"
30-Jul-25,195.6,197.6,194.69,196.53,196.53,0.40%,"32,445,405"
29-Jul-25,192.43,195.92,192.08,195.75,195.75,1.65%,"41,389,153"
28-Jul-25,193.65,194.05,190.84,192.58,192.58,-0.31%,"38,139,504"
25-Jul-25,191.98,194.33,191.26,193.18,193.18,0.53%,"39,785,863"
24-Jul-25,197.03,197.95,191,192.17,192.17,1.02%,"74,881,687"
23-Jul-25,191.5,192.53,189.18,190.23,190.23,-0.58%,"58,681,948"
22-Jul-25,191.5,191.65,187.46,191.34,191.34,0.65%,"44,660,215"
21-Jul-25,186.25,190.29,186.15,190.1,190.1,2.72%,"45,803,129"
18-Jul-25,185.4,186.42,183.71,185.06,185.06,0.81%,"34,014,509"
17-Jul-25,182.14,184.06,180.48,183.58,183.58,0.33%,"31,992,565"
16-Jul-25,183.24,184.33,182.03,182.97,182.97,0.53%,"33,104,193"
15-Jul-25,182.81,184.22,181.6,182,182,0.24%,"33,448,251"
14-Jul-25,181.01,183.67,179.68,181.56,181.56,0.76%,"32,536,632"
11-Jul-25,176.79,181.43,176.48,180.19,180.19,1.45%,"34,282,922"
10-Jul-25,175.63,178.43,174.38,177.62,177.62,0.57%,"29,252,386"
9-Jul-25,175.25,179.44,172.77,176.62,176.62,1.30%,"43,025,594"
8-Jul-25,177.85,177.95,172.81,174.36,174.36,-1.37%,"40,442,535"
7-Jul-25,179.06,179.3,175.68,176.79,176.79,-1.53%,"34,175,648"
3-Jul-25,178.5,179.67,177.05,179.53,179.53,0.50%,"21,689,729"
2-Jul-25,175.54,178.86,175.07,178.64,178.64,1.59%,"29,128,947"
1-Jul-25,175.74,176.09,173.53,175.84,175.84,-0.22%,"35,904,526"
30-Jun-25,180.78,181.23,174.58,176.23,176.23,-1.29%,"63,378,856"
27-Jun-25,173.54,178.68,171.73,178.53,178.53,2.88%,"108,140,200"
26-Jun-25,172.43,173.69,169.94,173.54,173.54,1.68%,"31,796,690"
25-Jun-25,167.63,172.36,167.55,170.68,170.68,2.34%,"35,478,989"
24-Jun-25,166.92,168.22,166.13,166.77,166.77,0.96%,"40,524,312"
23-Jun-25,166.27,167.34,162,165.19,165.19,-0.87%,"57,670,985"
20-Jun-25,173.95,174.34,165.46,166.64,166.64,-3.85%,"75,659,917"
18-Jun-25,176.01,176.56,173.2,173.32,173.32,-1.49%,"28,707,524"
17-Jun-25,175.7,177.37,174.58,175.95,175.95,-0.46%,"24,973,043"
16-Jun-25,174.73,176.94,174.65,176.77,176.77,1.20%,"27,389,208"
13-Jun-25,172.44,177.13,172.39,174.67,174.67,-0.59%,"27,663,107"
12-Jun-25,176.18,176.72,174.75,175.7,175.7,-0.93%,"20,941,873"
11-Jun-25,179.77,180.37,176.75,177.35,177.35,-0.70%,"31,646,757"
10-Jun-25,176.2,181.11,174.91,178.6,178.6,1.43%,"61,766,121"
9-Jun-25,174.54,176.47,174.37,176.09,176.09,1.39%,"28,935,906"
6-Jun-25,170.83,174.5,170.83,173.68,173.47,3.25%,"35,731,832"
5-Jun-25,170.34,170.93,167.59,168.21,168.01,0.10%,"36,444,564"
4-Jun-25,166.74,168.22,166.36,168.05,167.85,1.13%,"26,900,838"
3-Jun-25,167.49,168.48,165.28,166.18,165.98,-1.69%,"45,084,903"
2-Jun-25,167.84,169.87,167.39,169.03,168.83,-1.58%,"38,612,272"
30-May-25,171.35,172.21,167.44,171.74,171.54,-0.07%,"52,639,911"
29-May-25,174,174.42,170.63,171.86,171.66,-0.29%,"29,373,803"
28-May-25,173.16,175.27,171.91,172.36,172.16,-0.31%,"34,783,997"
27-May-25,170.16,173.17,170,172.9,172.69,2.63%,"37,995,670"
23-May-25,169.06,169.96,167.89,168.47,168.27,-1.40%,"35,211,439"
22-May-25,171.85,176.77,170.71,170.87,170.67,1.37%,"74,864,418"
21-May-25,163.69,173.14,163.56,168.56,168.36,2.79%,"73,415,956"
20-May-25,166.43,168.5,162.9,163.98,163.79,-1.54%,"46,607,656"
19-May-25,164.51,166.64,164.22,166.54,166.34,0.21%,"30,426,097"
16-May-25,167.73,169.35,165.62,166.19,165.99,1.36%,"42,846,925"
15-May-25,165.84,166.21,162.37,163.96,163.77,-0.85%,"33,146,669"
14-May-25,159.96,167,159.61,165.37,165.17,3.66%,"48,755,869"
13-May-25,158.79,160.57,156.16,159.53,159.34,0.68%,"42,382,126"
12-May-25,157.49,159.1,156.25,158.46,158.27,3.74%,"44,138,818"
9-May-25,154.17,155.05,152.2,152.75,152.57,-0.99%,"32,435,281"
8-May-25,155,155.93,152.9,154.28,154.1,1.92%,"57,498,692"
7-May-25,164.08,165,147.84,151.38,151.2,-7.26%,"127,747,554"
6-May-25,162.17,164.8,161.19,163.23,163.04,-0.60%,"21,277,210"
5-May-25,163,165.39,162.72,164.21,164.01,0.11%,"21,341,814"
2-May-25,163.41,164.97,161.87,164.03,163.84,1.69%,"25,715,005"
1-May-25,160.45,161.95,158.91,161.3,161.11,1.57%,"30,203,248"
30-Apr-25,157.98,159.27,155.4,158.8,158.61,-0.85%,"34,981,059"
29-Apr-25,160.33,160.74,157.52,160.16,159.97,-0.28%,"26,808,958"
28-Apr-25,162.43,163.15,158.6,160.61,160.42,-0.83%,"29,745,782"
25-Apr-25,165.07,166.1,161.04,161.96,161.77,1.68%,"56,033,995"
24-Apr-25,156.15,159.59,155.79,159.28,159.09,2.53%,"45,893,951"
23-Apr-25,155.61,157.53,153.81,155.35,155.17,2.56%,"31,128,833"
22-Apr-25,148.89,152.19,148.54,151.47,151.29,2.57%,"26,971,774"
21-Apr-25,148.88,148.95,146.1,147.67,147.49,-2.31%,"26,049,115"
17-Apr-25,154.29,154.68,148.5,151.16,150.98,-1.42%,"33,046,576"
16-Apr-25,153.1,155.89,151.51,153.33,153.15,-1.91%,"28,187,421"
15-Apr-25,159.13,159.65,155.21,156.31,156.12,-1.74%,"27,551,534"
14-Apr-25,160,161.72,157.56,159.07,158.88,1.23%,"30,332,957"
11-Apr-25,152.9,157.67,152.82,157.14,156.95,2.83%,"33,636,239"
10-Apr-25,156.54,157.72,149.93,152.82,152.64,-3.71%,"48,021,972"
9-Apr-25,144.42,159.55,143.91,158.71,158.52,9.68%,"70,406,232"
8-Apr-25,151.22,152.24,143.03,144.7,144.53,-1.40%,"52,200,208"
7-Apr-25,141.55,152.85,140.53,146.75,146.58,0.79%,"76,794,136"
4-Apr-25,148.01,151.07,145.38,145.6,145.43,-3.40%,"62,259,539"
3-Apr-25,151.11,152.78,150.39,150.72,150.54,-4.02%,"46,883,371"
2-Apr-25,155.15,158.41,154.7,157.04,156.85,-0.02%,"25,041,730"
1-Apr-25,153.62,158.1,153.62,157.07,156.88,1.57%,"30,672,899"
31-Mar-25,153.11,155.54,150.66,154.64,154.46,0.20%,"54,603,464"
28-Mar-25,160.49,161.82,153.63,154.33,154.15,-4.88%,"48,669,335"
27-Mar-25,164.63,165.42,162,162.24,162.05,-1.71%,"24,508,273"
26-Mar-25,169,169.61,164.84,165.06,164.86,-3.22%,"28,939,326"
25-Mar-25,168.98,170.63,168.32,170.56,170.36,1.72%,"24,174,373"
24-Mar-25,167.07,168.32,165.14,167.68,167.48,2.25%,"30,879,129"
21-Mar-25,161.21,164.24,160.89,163.99,163.8,0.73%,"36,625,764"
