Date,Open,High,Low,Close,Adj. Close,Change,Volume
5-Sep-25,"1,260.00","1,267.10","1,239.02","1,243.82","1,243.82",-1.09%,"2,367,116"
4-Sep-25,"1,223.20","1,257.48","1,223.09","1,257.48","1,257.48",2.55%,"3,023,506"
3-Sep-25,"1,205.14","1,227.00","1,203.38","1,226.18","1,226.18",0.99%,"2,441,424"
2-Sep-25,"1,197.00","1,215.40","1,182.80","1,214.11","1,214.11",0.48%,"2,303,269"
29-Aug-25,"1,227.97","1,228.79","1,201.15","1,208.25","1,208.25",-1.88%,"3,209,817"
28-Aug-25,"1,222.79","1,237.89","1,214.27","1,231.45","1,231.45",0.65%,"1,950,336"
27-Aug-25,"1,223.61","1,229.21","1,213.00","1,223.50","1,223.50",-0.21%,"1,664,526"
26-Aug-25,"1,220.21","1,231.50","1,212.20","1,226.09","1,226.09",0.66%,F
25-Aug-25,"1,201.65","1,233.80","1,199.00","1,218.07","1,218.07",1.11%,"2,812,036"
22-Aug-25,"1,208.88","1,213.62","1,198.23","1,204.65","1,204.65",-0.13%,"3,128,133"
21-Aug-25,"1,211.43","1,221.40","1,197.64","1,206.21","1,206.21",-0.63%,"2,047,178"
20-Aug-25,"1,218.00","1,223.00","1,193.31","1,213.86","1,213.86",-0.02%,"2,434,398"
19-Aug-25,"1,240.20","1,241.00","1,192.79","1,214.15","1,214.15",-2.48%,"3,707,731"
18-Aug-25,"1,235.63","1,251.16","1,235.45","1,245.09","1,245.09",0.50%,"2,111,087"
15-Aug-25,"1,234.04","1,246.94","1,227.88","1,238.95","1,238.95",0.68%,"2,767,804"
14-Aug-25,"1,209.89","1,244.09","1,207.03","1,230.56","1,230.56",2.17%,"3,904,668"
13-Aug-25,"1,234.00","1,237.12","1,203.00","1,204.44","1,204.44",-1.70%,"2,762,355"
12-Aug-25,"1,225.00","1,231.99","1,206.51","1,225.28","1,225.28",0.57%,"2,282,627"
11-Aug-25,"1,214.01","1,223.07","1,201.93","1,218.31","1,218.31",0.55%,"2,455,648"
8-Aug-25,"1,183.19","1,214.11","1,180.37","1,211.64","1,211.64",2.65%,"3,816,689"
7-Aug-25,"1,181.76","1,191.22","1,168.20","1,180.37","1,180.37",0.16%,"2,628,321"
6-Aug-25,"1,153.52","1,181.38","1,151.87","1,178.48","1,178.48",2.67%,"3,362,161"
5-Aug-25,"1,171.00","1,171.71","1,144.71","1,147.87","1,147.87",-1.97%,"2,660,735"
4-Aug-25,"1,167.65","1,177.00","1,162.62","1,170.99","1,170.99",1.07%,"2,244,702"
1-Aug-25,"1,163.01","1,178.51","1,152.85","1,158.60","1,158.60",-0.07%,"3,890,950"
31-Jul-25,"1,184.80","1,190.00","1,157.74","1,159.40","1,159.40",-2.09%,"3,712,949"
30-Jul-25,"1,168.55","1,184.85","1,166.10","1,184.20","1,184.20",1.32%,"2,922,731"
29-Jul-25,"1,179.00","1,179.60","1,163.29","1,168.74","1,168.74",-0.50%,"2,752,489"
28-Jul-25,"1,181.20","1,197.79","1,168.53","1,174.60","1,174.60",-0.50%,"3,446,958"
25-Jul-25,"1,178.42","1,187.32","1,174.38","1,180.49","1,180.49",-0.02%,"2,629,260"
