Date,Open,High,Low,Close,Adj. Close,Change,Volume
5-Sep-25,168.03,169.03,164.07,167.02,167.02,-2.70%,"221,531,123"
4-Sep-25,170.57,171.86,169.41,171.66,171.66,0.61%,"141,670,144"
3-Sep-25,171.06,172.41,168.88,170.62,170.62,-0.09%,"161,466,040"
2-Sep-25,170,172.38,167.22,170.78,170.78,-1.95%,"231,164,853"
29-Aug-25,178.11,178.15,173.15,174.18,174.18,-3.32%,"243,257,873"
28-Aug-25,180.82,184.47,176.41,180.17,180.17,-0.79%,"281,787,824"
27-Aug-25,181.98,182.49,179.1,181.6,181.6,-0.09%,"235,518,949"
26-Aug-25,180.06,182.39,178.81,181.77,181.77,1.09%,"168,688,186"
25-Aug-25,178.35,181.91,176.57,179.81,179.81,1.02%,"163,012,789"
22-Aug-25,172.61,178.59,171.2,177.99,177.99,1.72%,"172,789,427"
21-Aug-25,174.85,176.9,173.81,174.98,174.98,-0.24%,"140,040,850"
20-Aug-25,175.17,176,168.8,175.4,175.4,-0.14%,"215,142,725"
19-Aug-25,182.43,182.5,175.49,175.64,175.64,-3.50%,"185,229,219"
18-Aug-25,180.6,182.94,180.59,182.01,182.01,0.86%,"132,007,959"
15-Aug-25,181.88,181.9,178.04,180.45,180.45,-0.86%,"156,602,161"
14-Aug-25,179.75,183.02,179.46,182.02,182.02,0.24%,"129,553,959"
13-Aug-25,182.62,183.97,179.35,181.59,181.59,-0.86%,"179,871,724"
12-Aug-25,182.96,184.48,179.46,183.16,183.16,0.60%,"145,729,202"
11-Aug-25,182.05,183.84,180.25,182.06,182.06,-0.35%,"138,323,191"
8-Aug-25,181.55,183.3,180.4,182.7,182.7,1.07%,"123,396,679"
7-Aug-25,181.57,183.88,178.8,180.77,180.77,0.75%,"151,878,365"
6-Aug-25,176.33,179.9,176.25,179.42,179.42,0.65%,"137,192,265"
5-Aug-25,179.62,180.26,175.9,178.26,178.26,-0.97%,"156,407,621"
4-Aug-25,175.16,180.2,174.52,180,180,3.62%,"148,174,609"
1-Aug-25,174.09,176.54,170.89,173.72,173.72,-2.33%,"204,528,985"
31-Jul-25,182.9,183.3,175.93,177.87,177.87,-0.78%,"221,685,446"
30-Jul-25,176.51,179.89,176.04,179.27,179.27,2.14%,"174,312,208"
29-Jul-25,177.96,179.38,175.02,175.51,175.51,-0.70%,"154,077,512"
28-Jul-25,174.02,177,173.97,176.75,176.75,1.87%,"140,023,521"
25-Jul-25,173.61,174.72,172.96,173.5,173.5,-0.14%,"122,316,792"
24-Jul-25,172.44,173.83,171.3,173.74,173.74,1.73%,"128,984,628"
23-Jul-25,169.53,171.26,167.97,170.78,170.78,2.25%,"154,082,197"
22-Jul-25,171.34,171.39,164.58,167.03,167.03,-2.54%,"193,114,327"
21-Jul-25,172.75,173.38,171,171.38,171.38,-0.60%,"123,126,136"
18-Jul-25,173.64,174.25,171.26,172.41,172.41,-0.34%,"146,456,416"
17-Jul-25,172.02,174.16,170.83,173,173,0.95%,"160,841,119"
16-Jul-25,171.06,171.75,168.9,171.37,171.37,0.39%,"158,831,509"
15-Jul-25,171.19,172.4,169.2,170.7,170.7,4.04%,"230,627,350"
14-Jul-25,165.37,165.49,162.02,164.07,164.07,-0.52%,"136,975,754"
11-Jul-25,163.72,167.89,163.47,164.92,164.92,0.50%,"193,633,263"
10-Jul-25,164.32,164.5,161.61,164.1,164.1,0.75%,"167,704,075"
9-Jul-25,161.22,164.42,161.16,162.88,162.88,1.80%,"183,656,443"
