Date,Open,High,Low,Close,Adj. Close,Change,Volume
5-Sep-25,157.82,158.97,148.04,153.11,153.11,-1.94%,"81,437,724"
4-Sep-25,154.87,157.04,153.16,156.14,156.14,0.80%,"53,292,341"
3-Sep-25,158,161.15,152.71,154.9,154.9,-1.39%,"65,821,178"
2-Sep-25,151.2,158.39,150.28,157.09,157.09,0.24%,"65,434,969"
29-Aug-25,156.98,158.42,153,156.71,156.71,-0.89%,"45,270,502"
28-Aug-25,157.63,158.23,152.55,158.12,158.12,0.89%,"57,885,244"
27-Aug-25,162.32,162.4,155.98,156.72,156.72,-2.58%,"76,380,553"
26-Aug-25,155.39,162.13,154.57,160.87,160.87,2.35%,"86,573,715"
25-Aug-25,156.1,158.59,149.37,157.17,157.17,-0.99%,"86,879,821"
22-Aug-25,155.32,163.2,151.77,158.74,158.74,1.64%,"102,099,177"
21-Aug-25,157.17,157.97,153.81,156.18,156.18,0.11%,"94,678,639"
20-Aug-25,152.3,156.46,142.34,156.01,156.01,-1.10%,"220,336,359"
19-Aug-25,171.36,172.3,156.9,157.75,157.75,-9.35%,"137,922,722"
18-Aug-25,175.27,177.9,171.39,174.03,174.03,-1.77%,"62,656,597"
15-Aug-25,179.73,180,173.38,177.17,177.17,-2.13%,"60,288,736"
14-Aug-25,182.41,185.33,179.2,181.02,181.02,-1.82%,"53,472,933"
13-Aug-25,189,189.46,183.59,184.37,184.37,-1.39%,"53,610,031"
12-Aug-25,184.7,190,182.1,186.97,186.97,2.35%,"54,983,765"
11-Aug-25,186.47,187.18,181.92,182.68,182.68,-2.29%,"56,125,630"
8-Aug-25,184.74,187.99,184.41,186.96,186.96,2.61%,"62,657,935"
7-Aug-25,181.01,184.48,178.17,182.2,182.2,1.48%,"77,829,184"
6-Aug-25,171.18,180.58,171.01,179.54,179.54,3.62%,"82,924,849"
5-Aug-25,171.81,176.33,169.22,173.27,173.27,7.85%,"130,917,543"
4-Aug-25,158.53,161.4,157.93,160.66,160.66,4.14%,"82,993,558"
1-Aug-25,155.05,158.19,151.06,154.27,154.27,-2.58%,"61,286,993"
31-Jul-25,159.99,160.89,156.73,158.35,158.35,-0.16%,"45,342,610"
30-Jul-25,157.37,159.38,156.56,158.61,158.61,1.52%,"40,261,681"
29-Jul-25,158.72,160.14,154.91,156.24,156.24,-1.04%,"42,427,214"
28-Jul-25,159.88,160.28,153.04,157.88,157.88,-0.58%,"63,886,935"
25-Jul-25,155.63,160.39,155.58,158.8,158.8,2.54%,"57,972,341"
24-Jul-25,153.98,155.63,152.58,154.86,154.86,0.15%,"38,925,748"
23-Jul-25,149.74,155,148.29,154.63,154.63,3.73%,"48,061,985"
22-Jul-25,150.85,151.79,145.06,149.07,149.07,-1.79%,"49,880,762"
21-Jul-25,153.88,155.44,151.36,151.79,151.79,-1.13%,"45,072,814"
18-Jul-25,154.86,154.92,151.9,153.52,153.52,-0.31%,"45,771,634"
17-Jul-25,151.56,155.68,150.82,153.99,153.99,2.04%,"60,165,516"
16-Jul-25,149.3,151.51,147.67,150.91,150.91,1.57%,"57,636,985"
15-Jul-25,148.93,150.62,147.36,148.58,148.58,-0.38%,"59,126,190"
14-Jul-25,142.72,149.58,142.22,149.15,149.15,4.96%,"81,774,443"
11-Jul-25,142.11,144.58,141.47,142.1,142.1,-0.28%,"52,134,812"
10-Jul-25,143.31,145.16,139.53,142.5,142.5,-0.44%,"64,383,873"
9-Jul-25,139.66,143.17,137.39,143.13,143.13,2.45%,"68,494,760"
8-Jul-25,138.78,139.86,135.79,139.71,139.71,0.42%,"59,834,823"
7-Jul-25,134.38,139.29,132.32,139.12,139.12,3.54%,"71,959,709"
3-Jul-25,134.36,135.62,132.51,134.36,134.36,1.70%,"41,812,483"
2-Jul-25,131.47,133.6,130.19,132.12,132.12,1.10%,"59,731,969"
1-Jul-25,135.27,136.32,128.51,130.68,130.68,-4.14%,"91,479,688"
30-Jun-25,137.79,138.88,134.8,136.32,136.32,4.27%,"97,305,595"
27-Jun-25,144.87,144.97,130.54,130.74,130.74,-9.37%,"202,598,647"
26-Jun-25,144.85,148.22,142.91,144.25,144.25,0.94%,"69,440,544"
25-Jun-25,144.49,147.67,141.53,142.9,142.9,-0.23%,"61,435,267"
24-Jun-25,140.98,143.66,137.8,143.23,143.23,2.37%,"58,574,192"
23-Jun-25,138.9,142.15,135.96,139.92,139.92,1.91%,"70,501,099"
20-Jun-25,140.69,142.24,136.74,137.3,137.3,-1.90%,"87,067,039"
18-Jun-25,139.04,140.36,137.49,139.96,139.96,1.27%,"58,260,225"
17-Jun-25,141.49,141.69,136.08,138.2,138.2,-2.27%,"70,479,099"
16-Jun-25,140.03,144.86,139.81,141.41,141.41,2.92%,"80,779,773"
13-Jun-25,133.82,139.99,133.35,137.4,137.4,1.63%,"93,519,043"
12-Jun-25,136.4,137.1,134.63,135.19,135.19,-0.88%,"56,248,175"
11-Jun-25,133.92,140,132.99,136.39,136.39,2.70%,"97,366,015"
10-Jun-25,131.02,134.07,129.41,132.81,132.81,0.57%,"69,308,929"
9-Jun-25,127.08,132.23,124.8,132.06,132.06,3.40%,"74,785,580"
6-Jun-25,123.73,128.13,121.92,127.72,127.72,6.51%,"87,175,144"
5-Jun-25,129.27,132.85,118.93,119.91,119.91,-7.77%,"132,238,651"
4-Jun-25,132.8,132.95,125.58,130.01,130.01,-2.37%,"97,306,314"
3-Jun-25,133.07,135.28,130.1,133.17,133.17,0.86%,"91,297,662"
2-Jun-25,131.44,134.48,128.86,132.04,132.04,0.20%,"93,218,744"
30-May-25,123.53,131.94,122.75,131.78,131.78,7.73%,"185,897,579"
29-May-25,125.35,126.47,121.53,122.32,122.32,-1.16%,"63,137,904"
28-May-25,124.23,125.65,122.91,123.76,123.76,0.30%,"64,866,004"
27-May-25,126.82,127.88,120.88,123.39,123.39,0.06%,"86,455,174"
23-May-25,120.88,125.54,120.68,123.31,123.31,0.83%,"65,905,836"
22-May-25,121.95,126.33,121.38,122.29,122.29,1.42%,"75,498,278"
21-May-25,125.16,127.11,119.41,120.58,120.58,-3.99%,"80,657,671"
20-May-25,127.22,128.2,124.65,125.59,125.59,-0.59%,"61,265,310"
19-May-25,124.72,127.77,124.32,126.33,126.33,-2.46%,"72,503,922"
16-May-25,129.23,130.33,126.76,129.52,129.52,1.09%,"57,003,724"
15-May-25,128.37,130.2,125.74,128.12,128.12,-1.58%,"69,502,967"
14-May-25,129.01,133.49,127.56,130.18,130.18,1.62%,"96,611,470"
13-May-25,119.92,130.6,119.31,128.1,128.1,8.14%,"147,155,359"
12-May-25,120.78,120.94,115.01,118.46,118.46,0.99%,"94,257,341"
9-May-25,118.97,119.16,114.9,117.3,117.3,-1.55%,"81,005,270"
8-May-25,112.28,120.38,112.07,119.15,119.15,7.85%,"126,966,207"
7-May-25,107.97,111.85,107,110.48,110.48,1.49%,"95,713,676"
6-May-25,112.71,113.91,105.32,108.86,108.86,-12.05%,"201,193,359"
5-May-25,123.7,125.26,121.36,123.77,123.77,-0.41%,"135,961,250"
2-May-25,118.66,124.42,118.63,124.28,124.28,6.95%,"103,094,298"
1-May-25,120.04,120.19,116,116.2,116.2,-1.89%,"90,677,568"
30-Apr-25,111.61,118.78,110.54,118.44,118.44,2.03%,"109,461,682"
29-Apr-25,113.98,117.23,113.24,116.08,116.08,1.25%,"79,709,007"
28-Apr-25,113.78,114.86,108.87,114.65,114.65,1.66%,"111,082,860"
25-Apr-25,108.05,112.88,106.55,112.78,112.78,4.64%,"103,933,839"
24-Apr-25,101.53,108,100.91,107.78,107.78,6.90%,"103,190,699"
23-Apr-25,98.86,103.76,97.83,100.82,100.82,7.27%,"112,909,507"
22-Apr-25,93.02,96.34,91.35,93.99,93.99,3.51%,"91,185,377"
21-Apr-25,92.84,96.48,89.31,90.8,90.8,-3.18%,"83,831,145"
17-Apr-25,94.71,95.11,92.27,93.78,93.78,1.15%,"83,991,760"
16-Apr-25,96.28,97.3,89.62,92.71,92.71,-5.78%,"121,997,637"
15-Apr-25,93.53,98.99,93.05,98.4,98.4,6.24%,"118,457,651"
14-Apr-25,95.8,97.33,91.46,92.62,92.62,4.60%,"122,836,852"
11-Apr-25,87.98,89.55,85.47,88.55,88.55,-0.05%,"95,130,683"
10-Apr-25,88.4,90.78,84.14,88.59,88.59,-3.72%,"124,448,216"
9-Apr-25,78.19,93.33,77.27,92.01,92.01,19.00%,"187,244,271"
8-Apr-25,83.29,86.11,75.22,77.32,77.32,-0.67%,"135,345,594"
7-Apr-25,66.65,81.8,66.12,77.84,77.84,5.17%,"169,083,704"
4-Apr-25,80.07,80.98,71.93,74.01,74.01,-11.47%,"147,323,190"
3-Apr-25,81.25,85.68,81.01,83.6,83.6,-4.40%,"93,878,189"
2-Apr-25,82.4,88.41,82.3,87.45,87.45,3.27%,"96,563,137"
1-Apr-25,83.89,85.28,81.82,84.68,84.68,0.33%,"78,980,662"
31-Mar-25,80,84.65,78.75,84.4,84.4,-1.69%,"108,092,868"
28-Mar-25,89.34,89.38,84.1,85.85,85.85,-4.71%,"91,091,708"
27-Mar-25,91.02,93.65,89.67,90.09,90.09,-2.37%,"82,823,003"
26-Mar-25,96.29,97.3,90.82,92.28,92.28,-4.37%,"82,138,337"
25-Mar-25,97.22,98.17,95.08,96.5,96.5,-0.26%,"78,015,273"
24-Mar-25,93.4,97.39,92.28,96.75,96.75,6.37%,"112,164,708"
21-Mar-25,85.85,91.07,84.46,90.96,90.96,4.09%,"116,748,695"
20-Mar-25,85.54,89.8,85.12,87.39,87.39,1.50%,"105,547,414"
19-Mar-25,84.55,87.99,82.86,86.1,86.1,2.63%,"89,797,417"
18-Mar-25,85.78,86.17,81.8,83.89,83.89,-3.96%,"93,236,494"
17-Mar-25,88.44,88.82,84.5,87.35,87.35,1.29%,"99,348,869"
14-Mar-25,82.97,87.27,82.16,86.24,86.24,8.31%,"113,985,021"
13-Mar-25,82.85,83.74,78.32,79.62,79.62,-4.82%,"100,927,167"
12-Mar-25,83.48,84.55,79.86,83.65,83.65,7.17%,"116,525,071"
11-Mar-25,75.79,80.75,75.53,78.05,78.05,2.19%,"109,351,514"
10-Mar-25,82,82.69,74.57,76.38,76.38,-10.05%,"133,318,038"
7-Mar-25,80.03,85.16,79.15,84.91,84.91,5.53%,"105,377,101"
