Date,Open,High,Low,Close,Adj. Close,Change,Volume
5-Sep-25,752.62,757.95,745.03,752.45,752.45,0.51%,"9,569,768"
4-Sep-25,748.57,761.16,745.82,748.65,748.65,1.57%,"11,439,078"
3-Sep-25,736,740.25,733.99,737.05,737.05,0.26%,"7,650,495"
2-Sep-25,726.04,736,721.73,735.11,735.11,-0.49%,"9,350,857"
29-Aug-25,745.28,747.14,735.35,738.7,738.7,-1.65%,"9,070,546"
28-Aug-25,744,753.06,740.8,751.11,751.11,0.50%,"7,467,955"
27-Aug-25,752.3,754.15,742.84,747.38,747.38,-0.89%,"8,315,435"
26-Aug-25,750.8,754.87,747.94,754.1,754.1,0.11%,"7,601,800"
25-Aug-25,754.82,758.88,750.13,753.3,753.3,-0.20%,"6,861,158"
22-Aug-25,739.23,756.9,734.39,754.79,754.79,2.12%,"10,612,667"
21-Aug-25,744.71,745.5,733.11,739.1,739.1,-1.15%,"8,876,307"
20-Aug-25,747.57,750.2,731,747.72,747.72,-0.50%,"11,898,190"
19-Aug-25,767.12,767.17,749.36,751.48,751.48,-2.07%,"12,286,690"
18-Aug-25,775.09,775.81,756.56,767.37,767.37,-2.27%,"16,513,737"
15-Aug-25,784.15,796.25,780.82,785.23,785.23,0.40%,"13,375,361"
14-Aug-25,777.88,787.81,772.51,782.13,782.13,0.26%,"8,116,193"
13-Aug-25,791.15,795.46,778.23,780.08,780.08,-1.26%,"8,811,750"
12-Aug-25,773,793.67,772.43,790,790,3.15%,"14,579,765"
11-Aug-25,770.08,773.46,764.67,765.87,765.87,-0.45%,"7,611,964"
8-Aug-25,762.75,769.9,758.58,769.3,769.3,0.98%,"7,320,755"
7-Aug-25,773.49,775,759.55,761.83,761.83,-1.32%,"9,019,691"
6-Aug-25,770,773.64,760.46,771.99,771.99,1.12%,"9,733,910"
5-Aug-25,776.45,783.13,763,763.46,763.46,-1.66%,"11,640,294"
4-Aug-25,760,776.85,758.41,776.37,776.37,3.51%,"15,801,727"
1-Aug-25,760.73,766,745.31,750.01,750.01,-3.03%,"19,028,710"
31-Jul-25,775.2,784.75,765.51,773.44,773.44,11.25%,"38,831,098"
30-Jul-25,708.09,708.5,691.2,695.21,695.21,-0.68%,"27,077,286"
29-Jul-25,720,724.47,699.91,700,700,-2.46%,"13,267,032"
28-Jul-25,715.2,724.74,712.68,717.63,717.63,0.69%,"8,715,743"
25-Jul-25,716.92,720.65,711.9,712.68,712.68,-0.30%,"8,271,698"
